source,pat_name,trial,n_flip,iteration,hamming_to_nearest,nearest_pat,overlap_H,overlap_T,overlap_X
python,X,4,8,2,0,X,0.187500,0.281250,1.000000
python,X,5,8,0,8,X,0.187500,0.343750,0.750000
python,X,5,8,1,0,X,0.187500,0.281250,1.000000
python,X,5,8,2,0,X,0.187500,0.281250,1.000000
python,X,6,8,0,8,X,0.125000,0.156250,0.750000
python,X,6,8,1,0,X,0.187500,0.281250,1.000000
python,X,6,8,2,0,X,0.187500,0.281250,1.000000
python,X,7,8,0,8,X,0.250000,0.156250,0.750000
python,X,7,8,1,0,X,0.187500,0.281250,1.000000
python,X,7,8,2,0,X,0.187500,0.281250,1.000000
python,X,8,8,0,8,X,0.125000,0.218750,0.750000
python,X,8,8,1,0,X,0.187500,0.281250,1.000000
python,X,8,8,2,0,X,0.187500,0.281250,1.000000
python,X,9,8,0,8,X,0.000000,0.156250,0.750000
python,X,9,8,1,0,X,0.187500,0.281250,1.000000
python,X,9,8,2,0,X,0.187500,0.281250,1.000000
python,X,10,8,0,8,X,0.250000,0.218750,0.750000
python,X,10,8,1,0,X,0.187500,0.281250,1.000000
python,X,10,8,2,0,X,0.187500,0.281250,1.000000
python,X,11,8,0,8,X,0.125000,0.281250,0.750000
python,X,11,8,1,0,X,0.187500,0.281250,1.000000
python,X,11,8,2,0,X,0.187500,0.281250,1.000000
python,X,12,8,0,8,X,0.062500,0.093750,0.750000
python,X,12,8,1,0,X,0.187500,0.281250,1.000000
python,X,12,8,2,0,X,0.187500,0.281250,1.000000
python,X,13,8,0,8,X,0.125000,0.156250,0.750000
python,X,13,8,1,0,X,0.187500,0.281250,1.000000
python,X,13,8,2,0,X,0.187500,0.281250,1.000000
python,X,14,8,0,8,X,0.187500,0.218750,0.750000
python,X,14,8,1,0,X,0.187500,0.281250,1.000000
python,X,14,8,2,0,X,0.187500,0.281250,1.000000
python,X,15,8,0,8,X,0.125000,0.281250,0.750000
python,X,15,8,1,0,X,0.187500,0.281250,1.000000
python,X,15,8,2,0,X,0.187500,0.281250,1.000000
python,X,16,8,0,8,X,0.125000,0.218750,0.750000
python,X,16,8,1,0,X,0.187500,0.281250,1.000000
python,X,16,8,2,0,X,0.187500,0.281250,1.000000
python,X,17,8,0,8,X,0.062500,0.093750,0.750000
python,X,17,8,1,0,X,0.187500,0.281250,1.000000
python,X,17,8,2,0,X,0.187500,0.281250,1.000000
python,X,18,8,0,8,X,0.125000,0.156250,0.750000
python,X,18,8,1,0,X,0.187500,0.281250,1.000000
python,X,18,8,2,0,X,0.187500,0.281250,1.000000
python,X,19,8,0,8,X,0.125000,0.281250,0.750000
python,X,19,8,1,0,X,0.187500,0.281250,1.000000
python,X,19,8,2,0,X,0.187500,0.281250,1.000000
python,X,0,13,0,13,X,-0.031250,0.062500,0.593750
python,X,0,13,1,0,X,0.187500,0.281250,1.000000
python,X,0,13,2,0,X,0.187500,0.281250,1.000000
python,X,1,13,0,13,X,0.031250,0.062500,0.593750
python,X,1,13,1,0,X,0.187500,0.281250,1.000000
python,X,1,13,2,0,X,0.187500,0.281250,1.000000
python,X,2,13,0,13,X,0.281250,0.187500,0.593750
python,X,2,13,1,0,X,0.187500,0.281250,1.000000
python,X,2,13,2,0,X,0.187500,0.281250,1.000000
python,X,3,13,0,13,X,-0.031250,0.062500,0.593750
python,X,3,13,1,0,X,0.187500,0.281250,1.000000
python,X,3,13,2,0,X,0.187500,0.281250,1.000000
python,X,4,13,0,13,X,0.093750,0.312500,0.593750
python,X,4,13,1,0,X,0.187500,0.281250,1.000000
python,X,4,13,2,0,X,0.187500,0.281250,1.000000
python,X,5,13,0,13,X,0.093750,0.125000,0.593750
python,X,5,13,1,0,X,0.187500,0.281250,1.000000
python,X,5,13,2,0,X,0.187500,0.281250,1.000000
python,X,6,13,0,13,X,0.031250,0.250000,0.593750
python,X,6,13,1,0,X,0.187500,0.281250,1.000000
python,X,6,13,2,0,X,0.187500,0.281250,1.000000
python,X,7,13,0,13,X,0.218750,0.250000,0.593750
