idx,e_max,offset,in_0,in_1,in_2,in_3,in_4,in_5,in_6,in_7,out_0,out_1,out_2,out_3,out_4,out_5,out_6,out_7
655,41,-9,4752,1313,2626,5252,2312,4625,1059,2119,4176,737,2050,4676,1736,4096,483,1543
656,35,-3,4238,284,569,1139,2279,4559,927,1854,4096,92,377,947,2087,4367,735,1662
657,62,-30,3709,7418,6644,5097,2002,4005,8011,7830,1789,5498,4724,4096,82,2085,6091,5910
658,52,-20,7469,6746,5301,2410,4821,1450,2901,5803,6189,5466,4096,1130,4096,170,1621,4523
659,53,-21,3415,6830,5468,2745,5490,2788,5576,2961,2071,5486,4124,1401,4146,1444,4232,1617
660,57,-25,5923,3655,7311,6430,4669,1146,2293,4587,4323,2055,5711,4830,4096,0,693,4096
661,61,-29,982,1965,3930,7860,7529,6867,5542,2893,0,109,2074,6004,5673,5011,4096,1037
662,52,-20,5786,3380,6761,5331,2471,4943,1694,3389,4506,2100,5481,4096,1191,4096,414,2109
663,61,-29,6779,5366,2540,5081,1970,3940,7880,7568,4923,4096,684,4096,114,2084,6024,5712
664,50,-18,6945,5698,3205,6410,4628,1065,2130,4260,5793,4546,2053,5258,4096,0,978,4096
665,41,-9,329,659,1319,2639,5279,2366,4732,1273,0,83,743,2063,4703,1790,4156,697
666,62,-30,2547,5095,1999,3999,7999,7807,7423,6655,627,4096,79,2079,6079,5887,5503,4735
667,63,-31,5118,2045,4091,8182,8173,8155,8119,8047,4096,61,2107,6198,6189,6171,6135,6063
668,60,-28,7902,7612,7032,5872,3552,7104,6017,3842,6110,5820,5240,4096,1760,5312,4225,2050
669,56,-24,7685,7179,6166,4141,91,183,366,733,6149,5643,4630,4096,0,0,0,0
670,59,-27,1467,2935,5870,3549,7099,6006,3820,7641,0,1207,4142,1821,5371,4278,2092,5913
671,59,-27,7091,5991,3791,7582,6973,5754,3317,6635,5363,4263,2063,5854,5245,4096,1589,4907
672,61,-29,5078,1964,3929,7858,7525,6858,5525,2858,4096,108,2073,6002,5669,5002,4096,1002
673,50,-18,5716,3240,6481,4770,1348,2696,5393,2595,4564,2088,5329,4096,196,1544,4241,1443
674,35,-3,5190,2188,4377,562,1125,2250,4501,810,4998,1996,4185,370,933,2058,4309,618
675,50,-18,1621,3242,6485,4779,1366,2733,5466,2740,469,2090,5333,4096,214,1581,4314,1588
676,52,-20,5481,2771,5543,2894,5789,3386,6772,5352,4201,1491,4263,1614,4509,2106,5492,4096
677,58,-26,2513,5027,1862,3725,7450,6709,5227,2263,849,4096,198,2061,5786,5045,4096,599
678,53,-21,4527,863,1727,3455,6911,5630,3069,6138,4096,0,383,2111,5567,4286,1725,4794
679,63,-31,4085,8171,8150,8108,8024,7857,7522,6852,2101,6187,6166,6124,6040,5873,5538,4868
680,49,-17,5513,2835,5671,3151,6302,4412,633,1266,4425,1747,4583,2063,5214,4096,0,178
681,60,-28,2533,5067,1943,3887,7775,7359,6526,4861,741,4096,151,2095,5983,5567,4734,4096
682,63,-31,1530,3060,6121,4051,8103,8014,7837,7482,0,1076,4137,2067,6119,6030,5853,5498
683,58,-26,6773,5355,2518,5037,1882,3764,7529,6866,5109,4096,854,4096,218,2100,5865,5202
684,52,-20,5541,2891,5782,3373,6747,5303,2415,4830,4261,1611,4502,2093,5467,4096,1135,4096
685,61,-29,1469,2939,5878,3564,7128,6065,3938,7877,0,1083,4096,1708,5272,4209,2082,6021
686,54,-22,7563,6935,5679,3167,6334,4477,763,1527,6155,5527,4271,1759,4926,4096,0,119
687,62,-30,3055,6110,4028,8056,7921,7651,7110,6028,1135,4190,2108,6136,6001,5731,5190,4108
688,60,-28,3865,7730,7269,6347,4503,814,1629,3258,2073,5938,5477,4555,4096,0,0,1466
689,58,-26,6517,4843,1494,2988,5977,3763,7527,6863,4853,4096,0,1324,4313,2099,5863,5199
690,63,-31,5535,2879,5758,3325,6651,5111,2030,4060,4096,895,4096,1341,4667,4096,46,2076
691,62,-30,8120,8049,7906,7621,7051,5911,3631,7263,6200,6129,5986,5701,5131,4096,1711,5343
692,63,-31,6335,4478,765,1531,3062,6124,4056,8113,4351,4096,0,0,1078,4140,2072,6129
693,61,-29,8034,7877,7562,6932,5673,3154,6308,4424,6178,6021,5706,5076,4096,1298,4452,4096
694,41,-9,657,1315,2631,5262,2333,4667,1143,2286,81,739,2055,4686,1757,4096,567,1710
695,59,-27,4572,952,1904,3809,7618,7045,5898,3605,4096,0,176,2081,5890,5317,4170,1877
696,48,-16,7210,6229,4267,343,686,1373,2746,5493,6186,5205,4096,0,0,349,1722,4469
697,58,-26,2794,5588,2985,5970,3749,7499,6806,5421,1130,4096,1321,4306,2085,5835,5142,4096
698,53,-21,2650,5301,2410,4820,1449,2899,5799,3407,1306,4096,1066,4096,105,1555,4455,2063
699,63,-31,6815,5439,2686,5373,2555,5110,2029,4058,4831,4096,702,4096,571,4096,45,2074
700,62,-30,8116,8041,7891,7590,6989,5787,3382,6765,6196,6121,5971,5670,5069,4096,1462,4845
701,54,-22,5339,2486,4973,1754,3509,7019,5847,3502,4096,1078,4096,346,2101,5611,4439,2094
702,59,-27,7005,5819,3447,6894,5597,3002,6004,3816,5277,4096,1719,5166,4096,1274,4276,2088
703,58,-26,7632,7073,5954,3717,7434,6676,5160,2128,5968,5409,4290,2053,5770,5012,4096,464
704,40,-8,4257,322,645,1290,2581,5162,2132,4264,4096,0,133,778,2069,4650,1620,4096
705,42,-10,336,672,1344,2688,5377,2562,5124,2057,0,32,704,2048,4737,1922,4484,1417
706,37,-5,4114,37,74,149,298,597,1194,2389,4096,0,0,0,0,277,874,2069
707,42,-10,4778,1364,2729,5458,2725,5451,2710,5421,4138,724,2089,4818,2085,4811,2070,4781
708,53,-21,2650,5301,2411,4822,1452,2905,5811,3431,1306,4096,1067,4096,108,1561,4467,2087
709,51,-19,6862,5532,2872,5745,3298,6596,5000,1809,5646,4316,1656,4529,2082,5380,4096,593
710,56,-24,3618,7236,6281,4371,550,1101,2203,4406,2082,5700,4745,4096,0,0,667,4096
711,54,-22,620,1240,2481,4962,1733,3467,6934,5676,0,0,1073,4096,325,2059,5526,4268
712,49,-17,3160,6320,4449,707,1414,2829,5658,3124,2072,5232,4096,0,326,1741,4570,2036
713,52,-20,6249,4306,421,843,1687,3374,6749,5306,4969,4096,0,0,407,2094,5469,4096
714,58,-26,2420,4840,1488,2976,5952,3713,7426,6661,756,4096,0,1312,4288,2049,5762,4997
715,32,0,5130,2068,4137,82,164,329,658,1317,5130,2068,4137,82,164,329,658,1317
716,41,-9,2634,5268,2344,4689,1186,2372,4744,1296,2058,4692,1768,4113,610,1796,4168,720
717,40,-8,2593,5187,2183,4366,540,1081,2162,4325,2081,4675,1671,4096,28,569,1650,4096
718,57,-25,458,917,1835,3671,7342,6493,4795,1399,0,0,235,2071,5742,4893,4096,0
719,59,-27,2798,5596,3001,6003,3814,7628,7065,5939,1070,4096,1273,4275,2086,5900,5337,4211
720,57,-25,3687,7374,6557,4923,1654,3308,6616,5041,2087,5774,4957,4096,54,1708,5016,4096
721,59,-27,1891,3782,7564,6937,5682,3173,6347,4503,163,2054,5836,5209,4096,1445,4619,4096
722,50,-18,815,1630,3260,6521,4850,1509,3019,6039,0,478,2108,5369,4096,357,1867,4887
723,60,-28,3887,7775,7359,6527,4862,1532,3064,6129,2095,5983,5567,4735,4096,0,1272,4337
724,63,-31,4066,8132,8073,7955,7719,7247,6303,4415,2082,6148,6089,5971,5735,5263,4319,4096
725,63,-31,639,1279,2558,5117,2042,4085,8171,8150,0,0,574,4096,58,2101,6187,6166
726,62,-30,8109,8026,7861,7530,6869,5547,2903,5807,6189,6106,5941,5610,4949,4096,983,4096
727,61,-29,3422,6845,5499,2806,5612,3033,6066,3941,1566,4989,4096,950,4096,1177,4210,2085
728,59,-27,7883,7575,6959,5726,3261,6522,4853,1514,6155,5847,5231,4096,1533,4794,4096,0
729,61,-29,3029,6058,3924,7848,7505,6819,5447,2703,1173,4202,2068,5992,5649,4963,4096,847
730,61,-29,5406,2621,5242,2292,4585,979,1958,3917,4096,765,4096,436,4096,0,102,2061
731,58,-26,7834,7476,6760,5328,2465,4930,1668,3337,6170,5812,5096,4096,801,4096,4,1673
732,40,-8,6674,5156,2120,4241,291,583,1167,2335,6162,4644,1608,4096,0,71,655,1823
733,63,-31,4671,1150,2300,4601,1010,2021,4042,8084,4096,0,316,4096,0,37,2058,6100
