cycle,stream,A,B,OP,E_est,MODE,RESULT,ACC,PE_ACC,UF,OVF,RO,REGION
145,B,0819,0b07,MUL,44,0,0b22,00000523,00000000,0,0,0,TRANSITION
146,C,0800,07c0,MUL,31,0,07c0,00000523,00000523,0,0,0,STABLE
147,A,081d,0610,MUL,24,0,0634,00000ce3,00000523,0,0,0,STABLE
148,B,0808,0b7a,MUL,46,2,0b84,00001317,00000ce3,0,0,0,TRANSITION
149,C,07c0,07c0,MUL,30,0,0780,00001317,00001317,0,0,0,STABLE
150,A,0828,071f,MUL,29,0,074d,00001a97,00001317,0,0,0,STABLE
151,B,0807,0b91,MUL,46,3,0b99,000021e4,00001a97,0,0,0,TRANSITION
152,C,0780,07c0,MUL,29,0,0740,000021e4,000021e4,0,0,0,STABLE
153,A,0805,0800,MUL,32,0,0805,00002924,000021e4,0,0,0,STABLE
154,B,083a,0bcb,MUL,48,0,0c07,00003129,00002924,0,0,0,SATURATE
155,C,0740,0740,ADD,29,0,0740,00003129,00003129,0,0,0,STABLE
156,A,082c,0910,ADD,32,0,083c,00003869,00003129,0,0,0,STABLE
157,B,0811,0c18,MUL,48,2,0c2f,000040a5,00003869,0,0,0,SATURATE
158,C,0740,07c0,MUL,28,0,0700,000040a5,000040a5,0,0,0,STABLE
159,A,0822,0a1f,SUB,32,0,0803,000047a5,000040a5,0,0,0,STABLE
160,B,080b,0c44,MUL,49,3,0c4f,00004fa8,000047a5,0,0,0,SATURATE
161,C,0700,07c0,MUL,27,0,06c0,00004fa8,00004fa8,0,0,0,STABLE
162,A,0811,0930,MUL,37,0,0946,00005668,00004fa8,0,0,0,STABLE
163,B,0818,0be3,MUL,48,0,0c04,00005fae,00005668,0,0,0,SATURATE
164,C,06c0,07c0,MUL,26,0,0680,00005fae,00005fae,0,0,0,STABLE
165,A,080c,073f,MUL,29,0,074b,0000662e,00005fae,0,0,0,STABLE
166,B,0804,0b99,MUL,46,2,0b9e,00006d79,0000662e,0,0,0,TRANSITION
167,C,0680,0840,MUL,27,0,06c0,00006d79,00006d79,0,0,0,STABLE
168,A,0827,0500,MUL,20,0,0527,00007439,00006d79,0,0,0,STABLE
169,B,0823,0b0e,MUL,44,3,0b38,00007960,00007439,0,0,0,TRANSITION
170,C,06c0,07c0,MUL,26,0,0680,00007960,00007960,0,0,0,STABLE
171,A,083b,0610,MUL,25,0,064c,00007960,00007960,0,0,0,STABLE
172,B,0819,0b77,MUL,46,0,0b92,00007fac,00007960,0,0,0,TRANSITION
173,C,0680,07c0,MUL,25,2,0640,00007fac,00007fac,0,0,0,STABLE
174,A,081e,071f,ADD,32,0,083d,00007fac,00007fac,0,0,0,STABLE
