source,pat_name,trial,n_flip,iteration,hamming_to_nearest,nearest_pat,overlap_H,overlap_T,overlap_X
rtl,T  ,13,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,13,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,14,13,0,13,T  ,0.187500,0.593750,0.312500
rtl,T  ,14,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,14,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,15,13,0,13,T  ,-0.062500,0.593750,0.187500
rtl,T  ,15,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,15,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,16,13,0,13,T  ,0.062500,0.593750,0.250000
rtl,T  ,16,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,16,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,17,13,0,13,T  ,0.125000,0.593750,0.312500
rtl,T  ,17,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,17,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,18,13,0,13,T  ,0.062500,0.593750,0.062500
rtl,T  ,18,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,18,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,19,13,0,13,T  ,0.125000,0.593750,0.312500
rtl,T  ,19,13,1,0,T  ,0.031250,1.000000,0.281250
rtl,T  ,19,13,2,0,T  ,0.031250,1.000000,0.281250
rtl,X  ,0,8,0,8,X  ,0.312500,0.343750,0.750000
rtl,X  ,0,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,0,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,1,8,0,8,X  ,0.062500,0.218750,0.750000
rtl,X  ,1,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,1,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,2,8,0,8,X  ,0.250000,0.218750,0.750000
rtl,X  ,2,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,2,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,3,8,0,8,X  ,0.187500,0.156250,0.750000
rtl,X  ,3,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,3,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,4,8,0,8,X  ,0.125000,0.218750,0.750000
rtl,X  ,4,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,4,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,5,8,0,8,X  ,0.187500,0.343750,0.750000
rtl,X  ,5,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,5,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,6,8,0,8,X  ,0.125000,0.156250,0.750000
rtl,X  ,6,8,1,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,6,8,2,0,X  ,0.187500,0.281250,1.000000
rtl,X  ,7,8,0,8,X  ,0.250000,0.156250,0.750000
rtl,X  ,7,8,1,0,X  ,0.187500,0.281250,1.000000
